CustomerID,Churn Value,ChurnProbability,RiskTier
8813-FVEQT,1,0.3123148435406449,Low
3367-LWVXQ,1,0.4554158777606985,Medium
8983-KPRZJ,1,0.5112860772328314,Medium
8872-NCRZL,1,0.5737445987222626,Medium
5938-YXKTQ,0,0.15893199985481948,Low
6827-SIHAW,0,0.5202411624905935,Medium
3490-RRSWW,0,0.013298259151002152,Low
1021-VFQRB,1,0.26056347096194715,Low
3552-XDGCE,0,0.21230651436437034,Low
6740-VPHWJ,0,0.03826035743070047,Low
3833-NDJUP,0,0.2816888879614393,Low
9892-UJTWQ,0,0.30172616771686067,Low
7862-NXGLG,1,0.7524220519704097,High
1911-QDFTG,1,0.5741295938869398,Medium
8769-BLBBU,0,0.1517485446373342,Low
1600-XPMXK,0,0.07001501299394568,Low
4595-KQWOH,0,0.6577201234202878,Medium
9006-PVLFY,1,0.40572774244393967,Medium
7097-IWAYP,0,0.14266395683648778,Low
6308-AESOD,0,0.015591188345282742,Low
6991-THRZM,0,0.07822167960916789,Low
3063-ZXLLV,1,0.15338686293775497,Low
1004-IORQJ,0,0.05803172764295263,Low
8823-QOYCS,1,0.5205710179249391,Medium
9340-ROJHO,0,0.16919660108257306,Low
9088-MDMCY,0,0.08868464882387499,Low
5814-FQNNP,0,0.11455264576829684,Low
9359-WGGZQ,1,0.19978594281254167,Low
1174-NDAEG,1,0.18389127780794548,Low
1716-VLOWV,1,0.8365213202104432,High
8386-FTZAW,1,0.8046845856421123,High
8790-VKFTQ,1,0.5900026382320588,Medium
7541-GEXNW,0,0.10802230138999282,Low
9334-LGXSR,0,0.05397806471839118,Low
9621-GJBKL,1,0.621961755690965,Medium
5072-DVMLW,1,0.7096803581087261,High
5375-XFWZT,0,0.10990187887550354,Low
9030-TPTYP,0,0.19077416022892693,Low
7182-CYUEH,0,0.10180964927858287,Low
3028-IXMKU,0,0.04798527893867501,Low
4340-XTGQM,0,0.5997293754611528,Medium
4096-XKDKN,0,0.2807480449694586,Low
2136-TFCNE,0,0.22536499808585958,Low
8035-BKBJY,0,0.2945080251989012,Low
6853-NEIJP,0,0.9069027904811695,High
2873-ZQICP,0,0.15564371881404793,Low
5029-RPQVN,1,0.17341758662744258,Low
7520-JYKRZ,0,0.06855390357351344,Low
4142-CGGBO,1,0.2791707078741041,Low
3498-CDHJZ,0,0.6149738711677153,Medium
7322-SRUIC,0,0.15952563303380826,Low
5576-AFTNR,0,0.04918924776601665,Low
5590-OHFGU,0,0.008760417310053918,Low
9815-CNMOG,0,0.0837458275818031,Low
1070-FEBJR,0,0.34340649309131804,Low
9692-REJHF,1,0.5956993623572538,Medium
9910-RMLIK,0,0.06080597927088252,Low
6708-YMEYI,1,0.22261335020183953,Low
1748-OUGHH,1,0.614942842823965,Medium
8259-YWFWI,0,0.0498193275744871,Low
8799-ZSYDR,1,0.5897022188268404,Medium
1467-QIZMT,0,0.012927305364036383,Low
3723-BTFSM,0,0.23324735963720228,Low
9746-JKTUD,1,0.7475926613592387,High
7670-MZQUI,1,0.29734336151114205,Low
3551-UAPZZ,0,0.1790592438521031,Low
7443-MVAUE,1,0.3709718677423226,Low
7621-JTPYU,0,0.19586440120586313,Low
9226-DJLAA,0,0.09814957983816607,Low
1348-TLTVA,1,0.479105801543075,Medium
8627-FKZHY,0,0.013305034503781307,Low
5558-AVBQL,1,0.6821831945211039,Medium
2258-NJCOB,0,0.4471985451199916,Medium
5843-FVYYY,0,0.07651082312818115,Low
1904-NFCKL,0,0.10181867663125846,Low
3667-CKEBL,0,0.5654105831728655,Medium
1594-ZVYCM,0,0.07069653741691535,Low
8415-OHVIZ,0,0.0436773365779727,Low
1906-SAXJA,1,0.079099089000999,Low
8517-ZXMBF,1,0.667364663242822,Medium
1278-BEOTP,0,0.21503432003549774,Low
2843-PGLXD,0,0.030849963030767525,Low
8873-HRGEL,1,0.3217497662907948,Low
4429-NGZRV,0,0.6167177245422396,Medium
8018-SDPXC,0,0.051840043895133005,Low
5164-EUYBU,0,0.3647964713362358,Low
4244-ZAESU,1,0.7177151792545182,High
1714-EIAUR,0,0.013530419421717612,Low
7739-MQOSL,0,0.6377957303765363,Medium
6860-QQWJW,0,0.029245139091689114,Low
1253-MLWBF,1,0.06521014123393767,Low
5219-VMQEY,1,0.8366930069778791,High
8057-BSDOS,1,0.26409244090274064,Low
9332-BHRGS,0,0.28086242901607417,Low
2650-EORFW,0,0.04499009952383864,Low
8819-CHOMG,0,0.40026688068087113,Medium
5765-ZHFTO,0,0.18035133344333248,Low
7227-QTSPL,0,0.5879255986953252,Medium
5141-GLPSU,0,0.06800504272970265,Low
4392-TLJEG,0,0.036221024704298506,Low
7115-FCHZD,0,0.5011680586835614,Medium
2293-KJXGK,1,0.08759106029993273,Low
3615-GIGSU,0,0.03834774709586425,Low
2590-MGWCK,0,0.2837253904491977,Low
3982-JYOJV,0,0.03306720572978262,Low
7995-DMKLJ,0,0.16034907429341713,Low
8414-ZAWWJ,1,0.8985288361201074,High
5366-CJGXC,1,0.7366010280884449,High
4058-MZVYI,0,0.020208424470610248,Low
3411-OIAVC,0,0.03621750632430925,Low
2760-YTQDG,0,0.34518879634582156,Low
2850-QNJTU,0,0.019159139765924076,Low
7654-CPFHZ,0,0.44365938566765417,Medium
4737-UGZHE,0,0.07351890982046658,Low
3908-EPDFS,0,0.007472440290378028,Low
1383-LSLAE,0,0.653108524354302,Medium
9736-UJWAB,1,0.306120213481338,Low
8960-RPIVP,0,0.39120163634625094,Low
4914-JJORU,0,0.5469134410154924,Medium
4653-GOPHB,0,0.22540756107575277,Low
3993-BCZUA,1,0.6776144544848458,Medium
4139-GZLGQ,0,0.08387925110685507,Low
5274-EHDSZ,0,0.1441630501518086,Low
8274-JMBJA,0,0.08135027606842038,Low
7702-XERPK,0,0.010095114850035043,Low
7601-RHURI,1,0.14857952400528804,Low
7616-QDEIB,0,0.03213636869424815,Low
4656-MUEOR,0,0.038463200610328825,Low
5045-XIKAK,0,0.14907347316284622,Low
1181-ZGVDH,0,0.02434969528426575,Low
2076-JPKPU,0,0.008747217426913662,Low
1402-LPNDF,0,0.21185577525083288,Low
4394-QZJNH,1,0.44544608618386206,Medium
1307-KJDRG,1,0.8743835749365231,High
3021-KZQLV,0,0.6827210570395598,Medium
1189-IOMRS,0,0.1871683244323017,Low
5103-YYMXQ,1,0.23311214443970465,Low
2250-DCFIB,1,0.34088035510848386,Low
6472-KPNHP,1,0.25376115955238887,Low
9558-IHNUN,0,0.4786493205329015,Medium
8486-BCKGA,0,0.2873388177495517,Low
2936-HXUJY,0,0.2502151130260518,Low
8527-GMXLJ,0,0.5062195741891429,Medium
9129-RLWTJ,0,0.21388070472743387,Low
4818-BCYBV,0,0.3749780008157314,Low
2873-OSZJY,0,0.17931828564117872,Low
5086-WCGQS,0,0.11747977583328231,Low
8230-JQQZD,1,0.8747313554550449,High
1147-OAFNG,1,0.1966114845930473,Low
3397-JRJUE,0,0.168314644955125,Low
1921-EXHAI,0,0.17068513447038416,Low
7194-JJCRF,0,0.018595693983479947,Low
1878-SYPYK,1,0.41985907737101436,Medium
5674-JNXQA,0,0.6146415338672455,Medium
6220-JOOPW,0,0.20494990888595319,Low
8726-ZPHFW,0,0.07211960913745818,Low
9224-AFREB,0,0.5770473363029907,Medium
9972-CFZCU,0,0.025218615865961337,Low
6057-OVABF,0,0.1408577452749361,Low
5410-ZBKLF,0,0.0821783274493837,Low
4095-FDNYK,1,0.8325084065119961,High
6713-RVVXV,1,0.5499509221764882,Medium
9370-ZTMHO,1,0.8484772943157403,High
8459-TNBHP,0,0.5206841442760354,Medium
4471-LHBML,1,0.31320712299345754,Low
8031-CMWGI,1,0.3856408960453334,Low
1786-OWMKT,0,0.1642852324799207,Low
4976-KTHWG,0,0.5103847508185532,Medium
5599-GQLGT,0,0.5308195210620869,Medium
9414-AOSSF,0,0.38160864398831906,Low
2027-NQHJN,0,0.11560949182371148,Low
5050-MRZUA,0,0.01687545863574494,Low
4143-AWQFV,0,0.024545376028659478,Low
6065-BDVHN,0,0.046423308301672635,Low
9057-HACXP,0,0.039482142145722335,Low
3955-CSBCP,0,0.008375894500981805,Low
6770-OXGOH,0,0.0071921735310700894,Low
4258-DUSSD,1,0.10126093541257017,Low
2059-URARZ,0,0.19075360932391242,Low
7766-HITKT,0,0.5262007939052588,Medium
9639-KOMNB,0,0.1866659711056357,Low
9880-OFOKV,1,0.6155345354793402,Medium
7838-JSAZN,1,0.08116266692933997,Low
6888-QIRKR,0,0.16271002043174743,Low
1807-DYTDF,1,0.173964867541608,Low
5910-AKIDH,1,0.40985271671760776,Medium
3636-BQHAA,0,0.15722073766256034,Low
9692-DXECO,0,0.18341610591418311,Low
8814-BITBE,0,0.8160270985066944,High
3754-UVSRA,1,0.4833208958925023,Medium
3146-XSGSS,1,0.1427636625611819,Low
7685-ZOBVA,0,0.2712105002714848,Low
6771-UDUVR,1,0.5844878430701752,Medium
3913-FSERE,0,0.17393197245564396,Low
4022-NEUSA,1,0.2707495719964218,Low
8640-SVPQJ,0,0.2065654809861186,Low
3046-GIHTN,0,0.1548925772455002,Low
4697-STYIG,0,0.3145531041722537,Low
1056-EPVPZ,1,0.5542887214724784,Medium
6647-WGIVR,1,0.7699572601042672,High
5386-YTHPK,0,0.7162580397553879,High
4744-URAOQ,0,0.13416142352979568,Low
5595-HQYCP,1,0.15835403724550676,Low
9191-KIGFK,1,0.17723460549554157,Low
7945-EGZZF,0,0.29826229176641067,Low
4784-KHDBP,0,0.6597578560126678,Medium
1376-QCEAK,1,0.8766988145076102,High
3943-IIYLV,0,0.5131207196310106,Medium
3096-MBGBA,0,0.3416876985493914,Low
2639-EITDP,0,0.04337572591064237,Low
4285-KXMGG,1,0.09555291786053219,Low
2515-URGMN,0,0.09242731404035869,Low
1425-XUNSC,0,0.027374099432030265,Low
9794-QYWPH,0,0.011379123110424973,Low
7173-NKSXE,0,0.282952534857255,Low
5974-UIIAI,0,0.3737644823422953,Low
6277-ZNHVE,1,0.21020083508190815,Low
2682-NVFAS,0,0.17301184575807504,Low
6285-RKDIM,1,0.1587472977365505,Low
4899-XFIEO,1,0.639468263672163,Medium
8245-WFLTB,1,0.23997126673614658,Low
7401-DACWR,0,0.0415095861971957,Low
8103-RUMVB,0,0.18467248313967516,Low
6242-TZJES,0,0.3255552418815028,Low
1650-USRHD,1,0.5255260296084636,Medium
6473-JKEIV,0,0.04541643537837963,Low
9038-JDAEA,0,0.14727865823048777,Low
7009-QUIVE,0,0.605512795474283,Medium
3080-XWPPS,1,0.45415538582410986,Medium
8408-GBEJG,0,0.5512133264471486,Medium
5723-DPSCH,0,0.4989354841283627,Medium
5847-BRTJA,0,0.3899778563736681,Low
5506-WHWWH,0,0.19399927292069052,Low
6392-BOWYF,0,0.07340838364403675,Low
6983-BHVQK,0,0.31363897158698356,Low
9653-TACQW,0,0.1035995648678301,Low
2411-NVWQZ,0,0.16242288708298194,Low
9431-VRZAC,1,0.35275719914090303,Low
5592-RXRGX,0,0.026177521885659975,Low
1745-CSZND,1,0.7331067941450006,High
1428-ZHQIF,1,0.855538380778636,High
7010-TMNMP,0,0.3650499023400995,Low
8258-SHGRQ,0,0.680048570642619,Medium
4307-VKIOF,1,0.1156284440758199,Low
7260-XYLGM,1,0.8822997218704002,High
1933-RLDOS,0,0.2717460476645763,Low
3051-KXSUL,1,0.7175802370305159,High
5442-MLDBV,0,0.18963376102629384,Low
5831-NPKXM,1,0.1492278452715353,Low
5509-NEEEG,0,0.06589018312554641,Low
2438-FYJUK,1,0.6557639798621868,Medium
8422-TVHCI,1,0.7201610929852142,High
