CustomerID,Region,Segment,RFM_Segment,Contract,Tenure Months,Monthly Charges,MonthlyProfit,CLV,Churn Value,ChurnProbability
8813-FVEQT,North California,Gold,Need Attention,Month-to-month,12,65.62,12.78,122.07,1,0.3123148435406449
3367-LWVXQ,South California,Gold,Loyal,One year,22,66.72,16.9,308.26,1,0.4554158777606985
8983-KPRZJ,Central California,Silver,Champions,Month-to-month,63,87.02,33.74,278.56,1,0.5112860772328314
8872-NCRZL,Central California,Silver,Loyal,Month-to-month,48,77.33,31.45,259.65,1,0.5737445987222626
5938-YXKTQ,Central California,Gold,Need Attention,Two year,7,50.51,11.85,362.61,0,0.1589319998548194
6827-SIHAW,South California,Gold,Need Attention,Month-to-month,9,64.63,22.74,176.28,0,0.5202411624905935
3490-RRSWW,North California,Standard,Champions,Two year,67,23.21,-7.12,0.0,0,0.0132982591510021
1021-VFQRB,South California,Silver,Loyal,Month-to-month,52,51.54,8.12,87.5,1,0.2605634709619471
3552-XDGCE,North California,Standard,Loyal,Month-to-month,61,20.53,-12.06,0.0,0,0.2123065143643703
6740-VPHWJ,North California,Platinum,Champions,Two year,58,64.1,21.04,721.08,0,0.0382603574307004
3833-NDJUP,Central California,Silver,Loyal,Month-to-month,50,51.99,20.25,208.01,0,0.2816888879614393
9892-UJTWQ,South California,Gold,Loyal,Two year,18,83.25,15.35,466.39,0,0.3017261677168606
7862-NXGLG,South California,Gold,Need Attention,Month-to-month,10,75.64,22.74,155.0,1,0.7524220519704097
1911-QDFTG,South California,Bronze,Need Attention,Month-to-month,9,18.25,3.51,27.71,1,0.5741295938869398
8769-BLBBU,South California,Gold,Loyal,Month-to-month,29,63.9,13.49,137.6,0,0.1517485446373342
1600-XPMXK,South California,Silver,Loyal,Two year,40,73.76,5.57,194.5,0,0.0700150129939456
4595-KQWOH,Central California,Gold,Need Attention,Month-to-month,11,70.96,24.52,174.19,0,0.6577201234202878
9006-PVLFY,North California,Standard,Loyal,Month-to-month,36,18.61,-5.93,0.0,1,0.4057277424439396
7097-IWAYP,South California,Silver,Loyal,One year,45,66.0,18.26,380.39,0,0.1426639568364877
6308-AESOD,Central California,Silver,Champions,Two year,68,55.3,2.44,85.2,0,0.0155911883452827
6991-THRZM,Central California,Silver,Champions,One year,59,61.7,8.79,200.83,0,0.0782216796091678
3063-ZXLLV,Central California,Bronze,Need Attention,One year,6,18.25,-2.08,0.0,1,0.1533868629377549
1004-IORQJ,North California,Bronze,Need Attention,Two year,8,22.84,-1.71,0.0,0,0.0580317276429526
8823-QOYCS,South California,Gold,Need Attention,One year,4,69.82,10.03,174.28,1,0.5205710179249391
9340-ROJHO,South California,Silver,Champions,Month-to-month,59,58.76,23.27,239.03,0,0.169196601082573
9088-MDMCY,Central California,Platinum,Champions,One year,62,77.33,30.51,675.13,0,0.0886846488238749
5814-FQNNP,Central California,Gold,Need Attention,Two year,13,61.28,7.77,254.55,0,0.1145526457682968
9359-WGGZQ,South California,Standard,Loyal,Month-to-month,58,20.96,-7.39,0.0,1,0.1997859428125416
1174-NDAEG,Central California,Standard,Loyal,Month-to-month,64,18.25,-6.65,0.0,1,0.1838912778079454
1716-VLOWV,Central California,Gold,Need Attention,Month-to-month,7,77.67,24.37,157.33,1,0.8365213202104432
8386-FTZAW,Central California,Gold,Need Attention,Month-to-month,9,83.17,30.34,246.12,1,0.8046845856421123
8790-VKFTQ,North California,Gold,Need Attention,Month-to-month,12,63.14,13.83,110.2,1,0.5900026382320588
7541-GEXNW,North California,Platinum,Champions,One year,66,98.05,23.04,536.37,0,0.1080223013899928
9334-LGXSR,Central California,Silver,Champions,Two year,70,74.92,11.45,399.83,0,0.0539780647183911
9621-GJBKL,South California,Silver,Loyal,Month-to-month,34,99.04,30.83,245.65,1,0.621961755690965
5072-DVMLW,North California,Gold,Need Attention,Month-to-month,9,75.95,21.61,136.4,1,0.7096803581087261
5375-XFWZT,South California,Gold,Need Attention,Two year,10,78.19,-1.58,0.0,0,0.1099018788755035
9030-TPTYP,South California,Gold,Need Attention,Two year,8,69.55,7.75,250.54,0,0.1907741602289269
7182-CYUEH,North California,Silver,Champions,Month-to-month,67,46.02,9.55,106.35,0,0.1018096492785828
3028-IXMKU,Central California,Gold,Need Attention,Two year,10,75.89,11.05,385.87,0,0.047985278938675
4340-XTGQM,North California,Bronze,Need Attention,Month-to-month,15,18.25,-4.56,0.0,0,0.5997293754611528
4096-XKDKN,South California,Silver,Champions,Month-to-month,70,54.87,15.37,175.59,0,0.2807480449694586
2136-TFCNE,South California,Gold,Need Attention,One year,6,54.17,6.62,140.77,0,0.2253649980858595
8035-BKBJY,Central California,Silver,Champions,Month-to-month,67,70.17,26.76,259.46,0,0.2945080251989012
6853-NEIJP,North California,Gold,Need Attention,Month-to-month,4,80.29,29.44,160.39,0,0.9069027904811696
2873-ZQICP,South California,Bronze,Need Attention,One year,10,24.26,-2.28,0.0,0,0.1556437188140479
5029-RPQVN,Central California,Silver,Champions,Month-to-month,62,50.54,10.72,124.01,1,0.1734175866274425
7520-JYKRZ,South California,Platinum,Champions,One year,54,86.84,19.43,441.14,0,0.0685539035735134
4142-CGGBO,South California,Silver,Champions,Month-to-month,56,58.31,17.74,173.28,1,0.2791707078741041
3498-CDHJZ,South California,Gold,Need Attention,Month-to-month,12,62.47,10.92,89.37,0,0.6149738711677153
7322-SRUIC,South California,Silver,Champions,Month-to-month,56,55.85,16.36,168.05,0,0.1595256330338082
5576-AFTNR,North California,Bronze,Need Attention,Two year,9,18.56,-8.62,0.0,0,0.0491892477660166
5590-OHFGU,Central California,Silver,Champions,Two year,67,62.23,11.4,398.09,0,0.0087604173100539
9815-CNMOG,Central California,Platinum,Loyal,One year,44,78.82,29.44,655.69,0,0.0837458275818031
1070-FEBJR,Central California,Silver,Champions,Month-to-month,66,71.29,31.44,318.42,0,0.343406493091318
9692-REJHF,North California,Bronze,Need Attention,Month-to-month,15,22.62,-3.59,0.0,1,0.5956993623572538
9910-RMLIK,Central California,Silver,Champions,One year,65,46.96,18.82,427.29,0,0.0608059792708825
6708-YMEYI,North California,Gold,Need Attention,One year,11,55.04,10.86,234.05,1,0.2226133502018395
1748-OUGHH,South California,Gold,Need Attention,Month-to-month,5,60.53,20.83,132.98,1,0.614942842823965
8259-YWFWI,South California,Standard,Loyal,One year,58,26.54,-6.27,0.0,0,0.0498193275744871
8799-ZSYDR,South California,Gold,Loyal,Month-to-month,25,74.85,8.79,58.01,1,0.5897022188268404
1467-QIZMT,South California,Standard,Loyal,Two year,63,19.36,-13.91,0.0,0,0.0129273053640363
3723-BTFSM,Central California,Silver,Champions,Month-to-month,61,57.25,17.82,206.14,0,0.2332473596372022
9746-JKTUD,South California,Bronze,Need Attention,Month-to-month,5,53.99,8.17,58.04,1,0.7475926613592387
7670-MZQUI,Central California,Silver,Champions,Month-to-month,71,84.8,19.8,203.39,1,0.297343361511142
3551-UAPZZ,North California,Platinum,Loyal,Two year,39,76.47,15.85,519.25,0,0.1790592438521031
7443-MVAUE,South California,Gold,Need Attention,One year,11,79.53,22.63,386.7,1,0.3709718677423226
7621-JTPYU,Central California,Silver,Champions,Month-to-month,61,55.92,29.63,325.69,0,0.1958644012058631
9226-DJLAA,North California,Standard,Champions,Month-to-month,66,19.55,0.92,9.91,0,0.098149579838166
1348-TLTVA,Central California,Bronze,Need Attention,Month-to-month,7,20.05,-4.99,0.0,1,0.479105801543075
8627-FKZHY,South California,Standard,Loyal,Two year,57,25.73,-0.44,0.0,0,0.0133050345037813
5558-AVBQL,North California,Gold,Need Attention,Month-to-month,2,50.49,12.94,88.2,1,0.6821831945211039
2258-NJCOB,Central California,Silver,Champions,Month-to-month,65,80.25,34.26,302.58,0,0.4471985451199916
5843-FVYYY,North California,Silver,Champions,One year,58,50.6,7.81,181.82,0,0.0765108231281811
1904-NFCKL,South California,Bronze,Need Attention,Two year,7,52.39,5.27,166.95,0,0.1018186766312584
3667-CKEBL,Central California,Silver,Champions,Month-to-month,60,65.19,18.91,142.51,0,0.5654105831728655
1594-ZVYCM,North California,Silver,Champions,One year,68,51.46,10.64,244.63,0,0.0706965374169153
8415-OHVIZ,North California,Silver,Champions,One year,67,70.17,14.23,331.27,0,0.0436773365779727
1906-SAXJA,Central California,Silver,Champions,One year,60,78.67,15.25,355.02,1,0.079099089000999
8517-ZXMBF,South California,Gold,Need Attention,Month-to-month,14,72.33,8.25,71.08,1,0.667364663242822
1278-BEOTP,South California,Silver,Champions,Month-to-month,63,73.88,27.29,280.32,0,0.2150343200354977
2843-PGLXD,Central California,Platinum,Champions,One year,65,68.05,24.29,565.47,0,0.0308499630307675
8873-HRGEL,North California,Standard,Loyal,Month-to-month,56,24.94,-6.73,0.0,1,0.3217497662907948
4429-NGZRV,South California,Silver,Champions,Month-to-month,67,87.39,38.82,314.91,0,0.6167177245422396
8018-SDPXC,Central California,Gold,Need Attention,Two year,6,53.66,8.86,309.39,0,0.051840043895133
5164-EUYBU,South California,Silver,Champions,Month-to-month,65,82.46,36.08,331.65,0,0.3647964713362358
4244-ZAESU,North California,Bronze,Need Attention,Month-to-month,6,22.97,-2.55,0.0,1,0.7177151792545182
1714-EIAUR,North California,Standard,Champions,Two year,68,19.58,-14.73,0.0,0,0.0135304194217176
7739-MQOSL,South California,Gold,Need Attention,Month-to-month,14,65.17,14.61,123.78,0,0.6377957303765363
6860-QQWJW,South California,Bronze,Need Attention,Two year,19,21.49,-11.45,0.0,0,0.0292451390916891
1253-MLWBF,Central California,Silver,Champions,Month-to-month,63,58.8,20.79,242.0,1,0.0652101412339376
5219-VMQEY,South California,Gold,Need Attention,Month-to-month,2,80.24,26.08,166.49,1,0.8366930069778791
8057-BSDOS,South California,Gold,Need Attention,Two year,11,76.3,18.82,510.85,1,0.2640924409027406
9332-BHRGS,Central California,Standard,Loyal,Month-to-month,49,18.59,-1.31,0.0,0,0.2808624290160741
2650-EORFW,South California,Silver,Loyal,Two year,47,54.0,7.88,270.06,0,0.0449900995238386
8819-CHOMG,North California,Gold,Need Attention,Month-to-month,16,60.26,12.12,121.01,0,0.4002668806808711
5765-ZHFTO,North California,Platinum,Need Attention,Two year,8,88.37,35.91,1137.63,0,0.1803513334433324
7227-QTSPL,South California,Bronze,Need Attention,Month-to-month,4,25.91,-5.31,0.0,0,0.5879255986953252
5141-GLPSU,Central California,Silver,Champions,Two year,61,72.85,12.99,436.78,0,0.0680050427297026
4392-TLJEG,North California,Standard,Loyal,Two year,45,24.8,-6.28,0.0,0,0.0362210247042985
7115-FCHZD,South California,Gold,Need Attention,Month-to-month,19,57.66,10.29,82.73,0,0.5011680586835614
2293-KJXGK,North California,Gold,Need Attention,One year,9,64.22,14.18,301.52,1,0.0875910602999327
3615-GIGSU,South California,Standard,Champions,One year,69,26.13,-7.49,0.0,0,0.0383477470958642
2590-MGWCK,North California,Silver,Champions,Month-to-month,63,84.66,17.15,140.36,0,0.2837253904491977
3982-JYOJV,South California,Silver,Champions,One year,68,67.11,19.16,401.9,0,0.0330672057297826
7995-DMKLJ,South California,Gold,Need Attention,Two year,4,52.62,13.71,469.87,0,0.1603490742934171
8414-ZAWWJ,South California,Gold,Loyal,Month-to-month,29,93.87,40.18,207.33,1,0.8985288361201074
5366-CJGXC,Central California,Bronze,Need Attention,Month-to-month,5,25.95,5.1,39.9,1,0.7366010280884449
4058-MZVYI,Central California,Silver,Champions,Two year,70,87.39,6.07,211.96,0,0.0202084244706102
3411-OIAVC,South California,Standard,Champions,One year,71,25.38,1.66,38.64,0,0.0362175063243092
2760-YTQDG,North California,Silver,Champions,Month-to-month,63,70.55,12.69,124.87,0,0.3451887963458215
2850-QNJTU,South California,Silver,Champions,One year,62,51.21,7.24,168.55,0,0.019159139765924
7654-CPFHZ,Central California,Bronze,Need Attention,Month-to-month,3,21.32,-7.77,0.0,0,0.4436593856676541
4737-UGZHE,Central California,Gold,Need Attention,Two year,11,56.61,10.24,357.58,0,0.0735189098204665
3908-EPDFS,Central California,Standard,Champions,Two year,65,18.73,0.81,28.29,0,0.007472440290378
1383-LSLAE,Central California,Gold,Loyal,Month-to-month,31,53.79,16.67,110.02,0,0.653108524354302
9736-UJWAB,North California,Standard,Loyal,Month-to-month,41,25.37,4.7,46.25,1,0.306120213481338
8960-RPIVP,North California,Gold,Loyal,Month-to-month,22,54.1,16.57,142.77,0,0.3912016363462509
4914-JJORU,North California,Gold,Loyal,Month-to-month,26,56.98,13.83,117.17,0,0.5469134410154924
4653-GOPHB,North California,Gold,Need Attention,One year,4,65.7,6.67,136.07,0,0.2254075610757527
