CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,MonthlyProfit,CostToServe,MarketingSpend,Discount,Region,SignupMonth
8813-FVEQT,1,United States,California,Sacramento,95814,"38.6807, -121.5338",38.6807,-121.5338,Female,0,No,No,12,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),65.62,767.51,Yes,1,34,2879,Competitor had better devices,12.78,35.41,293.88,0.079,North California,2020-02-01
3367-LWVXQ,1,United States,California,San Diego,92101,"32.718, -117.2095",32.718,-117.2095,Female,1,Yes,No,22,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,66.72,1485.93,Yes,1,40,3001,Competitor made better offer,16.9,30.9,282.79,0.107,South California,2019-04-01
8983-KPRZJ,1,United States,California,Modesto,95354,"37.6423, -120.9105",37.6423,-120.9105,Female,0,No,No,63,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,87.02,5461.76,Yes,1,52,4595,Attitude of support person,33.74,45.37,160.67,0.014,Central California,2015-11-01
8872-NCRZL,1,United States,California,Fresno,93701,"36.7191, -119.7814",36.7191,-119.7814,Female,0,No,No,48,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,77.33,3689.5,Yes,1,52,4662,Competitor made better offer,31.45,31.7,321.72,0.01,Central California,2017-02-01
5938-YXKTQ,1,United States,California,Fresno,93701,"36.7931, -119.7308",36.7931,-119.7308,Female,0,Yes,No,7,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,50.51,349.21,No,0,25,3535,,11.85,19.32,227.67,0.195,Central California,2020-07-01
6827-SIHAW,1,United States,California,Long Beach,90802,"33.7537, -118.1245",33.7537,-118.1245,Male,0,No,No,9,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),64.63,585.21,No,0,59,3671,,22.74,32.19,207.99,0.016,South California,2020-05-01
3490-RRSWW,1,United States,California,Sacramento,95814,"38.5605, -121.5149",38.5605,-121.5149,Female,0,Yes,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,23.21,1586.06,No,0,5,4644,,-7.12,14.5,309.09,0.127,North California,2015-07-01
1021-VFQRB,1,United States,California,Los Angeles,90001,"34.1011, -118.2225",34.1011,-118.2225,Male,0,No,No,52,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),51.54,2672.12,Yes,1,17,4105,Product dissatisfaction,8.12,23.97,345.57,0.098,South California,2016-10-01
3552-XDGCE,1,United States,California,Berkeley,94704,"37.8446, -122.2707",37.8446,-122.2707,Female,0,No,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.53,1273.97,No,0,13,4338,,-12.06,13.53,425.43,0.065,North California,2016-01-01
6740-VPHWJ,1,United States,California,Sacramento,95814,"38.5797, -121.5523",38.5797,-121.5523,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,64.1,3737.52,No,0,8,4736,,21.04,24.91,192.58,0.158,North California,2016-04-01
